2026-02-19 11:58:31 | src.extraction.claim_extractor | INFO | extract_claims:24 | Starting claim extraction
2026-02-19 11:58:31 | src.extraction.claim_extractor | INFO | extract_claims:137 | Extracted 1 claims
2026-02-19 11:58:31 | src.extraction.claim_extractor | INFO | prioritize_claims:162 | Prioritized 1 claims
2026-02-19 12:04:18 | src.extraction.claim_extractor | INFO | extract_claims:24 | Starting claim extraction
2026-02-19 12:04:18 | src.extraction.claim_extractor | INFO | extract_claims:137 | Extracted 1 claims
2026-02-19 12:04:18 | src.extraction.claim_extractor | INFO | prioritize_claims:162 | Prioritized 1 claims
2026-02-19 12:10:37 | src.extraction.claim_extractor | INFO | extract_claims:24 | Starting claim extraction
2026-02-19 12:17:47 | src.extraction.claim_extractor | INFO | extract_claims:24 | Starting claim extraction
2026-02-19 12:17:47 | src.extraction.claim_extractor | INFO | extract_claims:149 | Extracted 32 claims
2026-02-19 12:17:47 | src.extraction.claim_extractor | INFO | prioritize_claims:174 | Prioritized 32 claims
2026-02-19 13:50:03 | src.extraction.claim_extractor | INFO | extract_claims:24 | Starting claim extraction
2026-02-19 13:50:03 | src.extraction.claim_extractor | INFO | extract_claims:149 | Extracted 32 claims
2026-02-19 13:50:03 | src.extraction.claim_extractor | INFO | prioritize_claims:174 | Prioritized 32 claims
2026-02-19 17:10:09 | src.extraction.claim_extractor | INFO | extract_claims:24 | Starting claim extraction
2026-02-19 17:10:09 | src.extraction.claim_extractor | INFO | extract_claims:149 | Extracted 32 claims
2026-02-19 17:10:09 | src.extraction.claim_extractor | INFO | prioritize_claims:174 | Prioritized 32 claims
2026-02-19 17:22:42 | src.extraction.claim_extractor | INFO | extract_claims:24 | Starting claim extraction
2026-02-19 17:22:42 | src.extraction.claim_extractor | INFO | extract_claims:149 | Extracted 11 claims
2026-02-19 17:22:42 | src.extraction.claim_extractor | INFO | prioritize_claims:174 | Prioritized 11 claims
2026-02-19 17:36:05 | src.extraction.claim_extractor | INFO | extract_claims:24 | Starting claim extraction
2026-02-19 17:36:05 | src.extraction.claim_extractor | INFO | extract_claims:149 | Extracted 11 claims
2026-02-19 17:36:05 | src.extraction.claim_extractor | INFO | prioritize_claims:174 | Prioritized 11 claims
2026-02-19 17:41:09 | src.extraction.claim_extractor | INFO | extract_claims:24 | Starting claim extraction
2026-02-19 17:41:09 | src.extraction.claim_extractor | INFO | extract_claims:149 | Extracted 11 claims
2026-02-19 17:41:09 | src.extraction.claim_extractor | INFO | prioritize_claims:174 | Prioritized 11 claims
2026-02-19 17:50:38 | src.extraction.claim_extractor | INFO | extract_claims:24 | Starting claim extraction
2026-02-19 17:50:38 | src.extraction.claim_extractor | INFO | extract_claims:149 | Extracted 11 claims
2026-02-19 17:50:38 | src.extraction.claim_extractor | INFO | prioritize_claims:174 | Prioritized 11 claims
2026-02-19 17:55:38 | src.extraction.claim_extractor | INFO | extract_claims:24 | Starting claim extraction
2026-02-19 17:55:38 | src.extraction.claim_extractor | INFO | extract_claims:149 | Extracted 11 claims
2026-02-19 17:55:38 | src.extraction.claim_extractor | INFO | prioritize_claims:174 | Prioritized 11 claims
2026-02-20 09:34:29 | src.extraction.claim_extractor | INFO | extract_claims:24 | Starting claim extraction
2026-02-20 09:34:29 | src.extraction.claim_extractor | INFO | extract_claims:149 | Extracted 7 claims
2026-02-20 09:34:29 | src.extraction.claim_extractor | INFO | prioritize_claims:174 | Prioritized 7 claims
2026-02-20 09:45:07 | src.extraction.claim_extractor | INFO | extract_claims:23 | Starting claim extraction
2026-02-20 09:45:07 | src.extraction.claim_extractor | INFO | extract_claims:127 | Extracted 29 claims
2026-02-20 09:45:07 | src.extraction.claim_extractor | INFO | prioritize_claims:152 | Prioritized 29 claims
2026-02-20 10:29:11 | src.extraction.claim_extractor | INFO | extract_claims:23 | Starting claim extraction
2026-02-20 10:29:11 | src.extraction.claim_extractor | INFO | extract_claims:127 | Extracted 29 claims
2026-02-20 10:29:11 | src.extraction.claim_extractor | INFO | prioritize_claims:152 | Prioritized 29 claims
2026-02-20 10:33:51 | src.extraction.claim_extractor | INFO | extract_claims:23 | Starting claim extraction
2026-02-20 10:33:51 | src.extraction.claim_extractor | INFO | extract_claims:127 | Extracted 29 claims
2026-02-20 10:33:51 | src.extraction.claim_extractor | INFO | prioritize_claims:152 | Prioritized 29 claims
2026-02-20 10:36:24 | src.extraction.claim_extractor | INFO | extract_claims:23 | Starting claim extraction
2026-02-20 10:36:24 | src.extraction.claim_extractor | INFO | extract_claims:127 | Extracted 29 claims
2026-02-20 10:36:24 | src.extraction.claim_extractor | INFO | prioritize_claims:152 | Prioritized 29 claims
2026-02-20 10:38:04 | src.extraction.claim_extractor | INFO | extract_claims:23 | Starting claim extraction
2026-02-20 10:38:04 | src.extraction.claim_extractor | INFO | extract_claims:127 | Extracted 29 claims
2026-02-20 10:38:04 | src.extraction.claim_extractor | INFO | prioritize_claims:152 | Prioritized 29 claims
2026-02-20 10:41:08 | src.extraction.claim_extractor | INFO | extract_claims:23 | Starting claim extraction
2026-02-20 10:41:08 | src.extraction.claim_extractor | INFO | extract_claims:127 | Extracted 29 claims
2026-02-20 10:41:08 | src.extraction.claim_extractor | INFO | prioritize_claims:152 | Prioritized 29 claims
2026-02-20 11:46:59 | src.extraction.claim_extractor | INFO | extract_claims:23 | Starting claim extraction
2026-02-20 11:46:59 | src.extraction.claim_extractor | INFO | extract_claims:127 | Extracted 29 claims
2026-02-20 11:46:59 | src.extraction.claim_extractor | INFO | prioritize_claims:152 | Prioritized 29 claims
2026-02-20 11:52:09 | src.extraction.claim_extractor | INFO | extract_claims:23 | Starting claim extraction
2026-02-20 11:52:09 | src.extraction.claim_extractor | INFO | extract_claims:127 | Extracted 29 claims
2026-02-20 11:52:09 | src.extraction.claim_extractor | INFO | prioritize_claims:152 | Prioritized 29 claims
2026-08-09 13:20:59 | src.extraction.claim_extractor | INFO | extract_claims:23 | Starting claim extraction
2026-08-09 13:20:59 | src.extraction.claim_extractor | INFO | extract_claims:127 | Extracted 2 claims
2026-08-09 13:20:59 | src.extraction.claim_extractor | INFO | prioritize_claims:152 | Prioritized 2 claims
2026-08-09 13:21:29 | src.extraction.claim_extractor | INFO | extract_claims:23 | Starting claim extraction
2026-08-09 13:21:29 | src.extraction.claim_extractor | INFO | extract_claims:127 | Extracted 2 claims
2026-08-09 13:21:29 | src.extraction.claim_extractor | INFO | prioritize_claims:152 | Prioritized 2 claims
2026-08-09 13:35:26 | src.extraction.claim_extractor | INFO | extract_claims:23 | Starting claim extraction
2026-08-09 13:35:26 | src.extraction.claim_extractor | INFO | extract_claims:127 | Extracted 2 claims
2026-08-09 13:35:26 | src.extraction.claim_extractor | INFO | prioritize_claims:152 | Prioritized 2 claims
2026-08-10 10:03:50 | src.extraction.claim_extractor | INFO | extract_claims:23 | Starting claim extraction
2026-08-10 10:03:50 | src.extraction.claim_extractor | INFO | extract_claims:127 | Extracted 2 claims
2026-08-10 10:03:50 | src.extraction.claim_extractor | INFO | prioritize_claims:152 | Prioritized 2 claims
2026-08-10 12:49:50 | src.extraction.claim_extractor | INFO | extract_claims:23 | Starting claim extraction
2026-08-10 12:49:50 | src.extraction.claim_extractor | INFO | extract_claims:127 | Extracted 2 claims
2026-08-10 12:49:50 | src.extraction.claim_extractor | INFO | prioritize_claims:152 | Prioritized 2 claims
2026-08-10 14:02:01 | src.extraction.claim_extractor | INFO | extract_claims:23 | Starting claim extraction
2026-08-10 14:02:01 | src.extraction.claim_extractor | INFO | extract_claims:127 | Extracted 30 claims
