2026-02-19 13:50:03 | src.matching.jd_extractor | INFO | __init__:23 | JDExtractor initialized
2026-02-19 13:50:03 | src.matching.jd_extractor | INFO | extract_jd_requirements:27 | Extracting JD requirements
2026-02-19 13:50:03 | src.matching.jd_extractor | ERROR | extract_jd_requirements:58 | Error extracting JD: 'Input to ChatPromptTemplate is missing variables {\'\\n    "job_title"\'}.  Expected: [\'\\n    "job_title"\'] Received: []\nNote: if you intended {\n    "job_title"} to be part of the string and not a variable, please escape it with double curly braces like: \'{{\n    "job_title"}}\'.\nFor troubleshooting, visit: https://docs.langchain.com/oss/python/langchain/errors/INVALID_PROMPT_INPUT '
2026-02-19 17:10:09 | src.matching.jd_extractor | INFO | __init__:43 | JDExtractor initialized
2026-02-19 17:10:09 | src.matching.jd_extractor | INFO | extract_jd_requirements:63 | Extracting JD requirements
2026-02-19 17:10:09 | src.matching.jd_extractor | ERROR | extract_jd_requirements:108 | Error extracting JD: 'Input to ChatPromptTemplate is missing variables {\'\\n    "job_title"\'}.  Expected: [\'\\n    "job_title"\', \'jd_content\'] Received: [\'jd_content\']\nNote: if you intended {\n    "job_title"} to be part of the string and not a variable, please escape it with double curly braces like: \'{{\n    "job_title"}}\'.\nFor troubleshooting, visit: https://docs.langchain.com/oss/python/langchain/errors/INVALID_PROMPT_INPUT '
2026-02-19 17:22:42 | src.matching.jd_extractor | INFO | __init__:43 | JDExtractor initialized
2026-02-19 17:22:42 | src.matching.jd_extractor | INFO | extract_jd_requirements:63 | Extracting JD requirements
2026-02-19 17:22:42 | src.matching.jd_extractor | ERROR | extract_jd_requirements:108 | Error extracting JD: 'Input to ChatPromptTemplate is missing variables {\'\\n    "job_title"\'}.  Expected: [\'\\n    "job_title"\', \'jd_content\'] Received: [\'jd_content\']\nNote: if you intended {\n    "job_title"} to be part of the string and not a variable, please escape it with double curly braces like: \'{{\n    "job_title"}}\'.\nFor troubleshooting, visit: https://docs.langchain.com/oss/python/langchain/errors/INVALID_PROMPT_INPUT '
2026-02-19 17:36:05 | src.matching.jd_extractor | INFO | __init__:43 | JDExtractor initialized
2026-02-19 17:36:05 | src.matching.jd_extractor | INFO | extract_jd_requirements:63 | Extracting JD requirements
2026-02-19 17:36:05 | src.matching.jd_extractor | ERROR | extract_jd_requirements:108 | Error extracting JD: 'Input to ChatPromptTemplate is missing variables {\'\\n    "job_title"\'}.  Expected: [\'\\n    "job_title"\', \'jd_content\'] Received: [\'jd_content\']\nNote: if you intended {\n    "job_title"} to be part of the string and not a variable, please escape it with double curly braces like: \'{{\n    "job_title"}}\'.\nFor troubleshooting, visit: https://docs.langchain.com/oss/python/langchain/errors/INVALID_PROMPT_INPUT '
2026-02-19 17:41:09 | src.matching.jd_extractor | INFO | __init__:43 | JDExtractor initialized
2026-02-19 17:41:09 | src.matching.jd_extractor | INFO | extract_jd_requirements:63 | Extracting JD requirements
2026-02-19 17:41:09 | src.matching.jd_extractor | ERROR | extract_jd_requirements:108 | Error extracting JD: 'Input to ChatPromptTemplate is missing variables {\'\\n    "job_title"\'}.  Expected: [\'\\n    "job_title"\', \'jd_content\'] Received: [\'jd_content\']\nNote: if you intended {\n    "job_title"} to be part of the string and not a variable, please escape it with double curly braces like: \'{{\n    "job_title"}}\'.\nFor troubleshooting, visit: https://docs.langchain.com/oss/python/langchain/errors/INVALID_PROMPT_INPUT '
2026-02-19 17:50:38 | src.matching.jd_extractor | INFO | __init__:43 | JDExtractor initialized
2026-02-19 17:50:38 | src.matching.jd_extractor | INFO | extract_jd_requirements:63 | Extracting JD requirements
2026-02-19 17:50:38 | src.matching.jd_extractor | ERROR | extract_jd_requirements:108 | Error extracting JD: 'Input to ChatPromptTemplate is missing variables {\'\\n    "job_title"\'}.  Expected: [\'\\n    "job_title"\', \'jd_content\'] Received: [\'jd_content\']\nNote: if you intended {\n    "job_title"} to be part of the string and not a variable, please escape it with double curly braces like: \'{{\n    "job_title"}}\'.\nFor troubleshooting, visit: https://docs.langchain.com/oss/python/langchain/errors/INVALID_PROMPT_INPUT '
2026-02-19 17:55:38 | src.matching.jd_extractor | INFO | __init__:43 | JDExtractor initialized
2026-02-19 17:55:38 | src.matching.jd_extractor | INFO | extract_jd_requirements:63 | Extracting JD requirements
2026-02-19 17:55:38 | src.matching.jd_extractor | ERROR | extract_jd_requirements:108 | Error extracting JD: 'Input to ChatPromptTemplate is missing variables {\'\\n    "job_title"\'}.  Expected: [\'\\n    "job_title"\', \'jd_content\'] Received: [\'jd_content\']\nNote: if you intended {\n    "job_title"} to be part of the string and not a variable, please escape it with double curly braces like: \'{{\n    "job_title"}}\'.\nFor troubleshooting, visit: https://docs.langchain.com/oss/python/langchain/errors/INVALID_PROMPT_INPUT '
2026-02-20 09:45:08 | src.matching.jd_extractor | INFO | __init__:43 | JDExtractor initialized
2026-02-20 09:45:08 | src.matching.jd_extractor | INFO | extract_jd_requirements:63 | Extracting JD requirements
2026-02-20 09:45:08 | src.matching.jd_extractor | ERROR | extract_jd_requirements:108 | Error extracting JD: 'Input to ChatPromptTemplate is missing variables {\'\\n    "job_title"\'}.  Expected: [\'\\n    "job_title"\', \'jd_content\'] Received: [\'jd_content\']\nNote: if you intended {\n    "job_title"} to be part of the string and not a variable, please escape it with double curly braces like: \'{{\n    "job_title"}}\'.\nFor troubleshooting, visit: https://docs.langchain.com/oss/python/langchain/errors/INVALID_PROMPT_INPUT '
2026-02-20 10:29:11 | src.matching.jd_extractor | INFO | __init__:84 | JDExtractor initialized
2026-02-20 10:29:11 | src.matching.jd_extractor | INFO | extract_jd_requirements:122 | Extracting JD requirements (LLM + Regex hybrid)
2026-02-20 10:29:11 | src.matching.jd_extractor | ERROR | extract_jd_requirements:179 | Error extracting JD: 'Input to ChatPromptTemplate is missing variables {\'\\n    "job_title"\'}.  Expected: [\'\\n    "job_title"\', \'jd_content\'] Received: [\'jd_content\']\nNote: if you intended {\n    "job_title"} to be part of the string and not a variable, please escape it with double curly braces like: \'{{\n    "job_title"}}\'.\nFor troubleshooting, visit: https://docs.langchain.com/oss/python/langchain/errors/INVALID_PROMPT_INPUT '
2026-02-20 10:29:11 | src.matching.jd_extractor | INFO | extract_jd_requirements:183 | Fallback: Using regex extraction, found 2 skills
2026-02-20 10:33:51 | src.matching.jd_extractor | INFO | __init__:84 | JDExtractor initialized
2026-02-20 10:33:51 | src.matching.jd_extractor | INFO | extract_jd_requirements:122 | Extracting JD requirements (LLM + Regex hybrid)
2026-02-20 10:33:51 | src.matching.jd_extractor | ERROR | extract_jd_requirements:179 | Error extracting JD: 'Input to ChatPromptTemplate is missing variables {\'\\n    "job_title"\'}.  Expected: [\'\\n    "job_title"\', \'jd_content\'] Received: [\'jd_content\']\nNote: if you intended {\n    "job_title"} to be part of the string and not a variable, please escape it with double curly braces like: \'{{\n    "job_title"}}\'.\nFor troubleshooting, visit: https://docs.langchain.com/oss/python/langchain/errors/INVALID_PROMPT_INPUT '
2026-02-20 10:33:51 | src.matching.jd_extractor | INFO | extract_jd_requirements:183 | Fallback: Using regex extraction, found 2 skills
2026-02-20 10:36:24 | src.matching.jd_extractor | INFO | __init__:84 | JDExtractor initialized
2026-02-20 10:36:24 | src.matching.jd_extractor | INFO | extract_jd_requirements:122 | Extracting JD requirements (LLM + Regex hybrid)
2026-02-20 10:36:24 | src.matching.jd_extractor | ERROR | extract_jd_requirements:179 | Error extracting JD: 'Input to ChatPromptTemplate is missing variables {\'\\n    "job_title"\'}.  Expected: [\'\\n    "job_title"\', \'jd_content\'] Received: [\'jd_content\']\nNote: if you intended {\n    "job_title"} to be part of the string and not a variable, please escape it with double curly braces like: \'{{\n    "job_title"}}\'.\nFor troubleshooting, visit: https://docs.langchain.com/oss/python/langchain/errors/INVALID_PROMPT_INPUT '
2026-02-20 10:36:24 | src.matching.jd_extractor | INFO | extract_jd_requirements:183 | Fallback: Using regex extraction, found 2 skills
2026-02-20 10:41:08 | src.matching.jd_extractor | INFO | __init__:43 | JDExtractor initialized
2026-02-20 10:41:08 | src.matching.jd_extractor | INFO | extract_jd_requirements:63 | Extracting JD requirements
2026-02-20 10:41:08 | src.matching.jd_extractor | ERROR | extract_jd_requirements:108 | Error extracting JD: 'Input to ChatPromptTemplate is missing variables {\'\\n    "job_title"\'}.  Expected: [\'\\n    "job_title"\', \'jd_content\'] Received: [\'jd_content\']\nNote: if you intended {\n    "job_title"} to be part of the string and not a variable, please escape it with double curly braces like: \'{{\n    "job_title"}}\'.\nFor troubleshooting, visit: https://docs.langchain.com/oss/python/langchain/errors/INVALID_PROMPT_INPUT '
2026-02-20 11:46:59 | src.matching.jd_extractor | INFO | __init__:43 | JDExtractor initialized
2026-02-20 11:46:59 | src.matching.jd_extractor | INFO | extract_jd_requirements:63 | Extracting JD requirements
