2026-02-19 12:18:23 | src.verification.tech_consistency_checker | INFO | check_consistency:63 | Checking technology consistency
2026-02-19 12:18:23 | src.verification.tech_consistency_checker | INFO | check_consistency:124 | Consistency check complete. Score: 0.00
2026-02-19 12:18:23 | src.verification.tech_consistency_checker | INFO | detect_red_flags:134 | Detecting tech consistency red flags
2026-02-19 12:18:23 | src.verification.tech_consistency_checker | INFO | detect_red_flags:170 | Found 1 red flags
2026-02-19 13:50:21 | src.verification.tech_consistency_checker | INFO | check_consistency:63 | Checking technology consistency
2026-02-19 13:50:21 | src.verification.tech_consistency_checker | INFO | check_consistency:124 | Consistency check complete. Score: 0.24
2026-02-19 13:50:21 | src.verification.tech_consistency_checker | INFO | detect_red_flags:134 | Detecting tech consistency red flags
2026-02-19 13:50:21 | src.verification.tech_consistency_checker | INFO | detect_red_flags:170 | Found 2 red flags
2026-02-19 17:10:27 | src.verification.tech_consistency_checker | INFO | check_consistency:177 | Checking technology consistency with semantic matching
2026-02-19 17:10:27 | src.verification.tech_consistency_checker | INFO | check_consistency:273 | Consistency check complete with semantic matching. Score: 0.38
2026-02-19 17:10:27 | src.verification.tech_consistency_checker | INFO | detect_red_flags:283 | Detecting tech consistency red flags (with fairness)
2026-02-19 17:10:27 | src.verification.tech_consistency_checker | INFO | detect_red_flags:324 | Found 0 red flags (fair detection)
2026-02-19 17:22:42 | src.verification.tech_consistency_checker | INFO | check_consistency:177 | Checking technology consistency with semantic matching
2026-02-19 17:22:42 | src.verification.tech_consistency_checker | INFO | check_consistency:273 | Consistency check complete with semantic matching. Score: 0.00
2026-02-19 17:22:42 | src.verification.tech_consistency_checker | INFO | detect_red_flags:283 | Detecting tech consistency red flags (with fairness)
2026-02-19 17:22:42 | src.verification.tech_consistency_checker | INFO | detect_red_flags:324 | Found 0 red flags (fair detection)
2026-02-19 17:36:05 | src.verification.tech_consistency_checker | INFO | check_consistency:177 | Checking technology consistency with semantic matching
2026-02-19 17:36:05 | src.verification.tech_consistency_checker | INFO | check_consistency:273 | Consistency check complete with semantic matching. Score: 0.00
2026-02-19 17:36:05 | src.verification.tech_consistency_checker | INFO | detect_red_flags:283 | Detecting tech consistency red flags (with fairness)
2026-02-19 17:36:05 | src.verification.tech_consistency_checker | INFO | detect_red_flags:324 | Found 0 red flags (fair detection)
2026-02-19 17:41:09 | src.verification.tech_consistency_checker | INFO | check_consistency:177 | Checking technology consistency with semantic matching
2026-02-19 17:41:09 | src.verification.tech_consistency_checker | INFO | check_consistency:273 | Consistency check complete with semantic matching. Score: 0.00
2026-02-19 17:41:09 | src.verification.tech_consistency_checker | INFO | detect_red_flags:283 | Detecting tech consistency red flags (with fairness)
2026-02-19 17:41:09 | src.verification.tech_consistency_checker | INFO | detect_red_flags:324 | Found 0 red flags (fair detection)
2026-02-19 17:50:38 | src.verification.tech_consistency_checker | INFO | check_consistency:177 | Checking technology consistency with semantic matching
2026-02-19 17:50:38 | src.verification.tech_consistency_checker | INFO | check_consistency:273 | Consistency check complete with semantic matching. Score: 0.00
2026-02-19 17:50:38 | src.verification.tech_consistency_checker | INFO | detect_red_flags:283 | Detecting tech consistency red flags (with fairness)
2026-02-19 17:50:38 | src.verification.tech_consistency_checker | INFO | detect_red_flags:324 | Found 0 red flags (fair detection)
2026-02-19 17:55:38 | src.verification.tech_consistency_checker | INFO | check_consistency:177 | Checking technology consistency with semantic matching
2026-02-19 17:55:38 | src.verification.tech_consistency_checker | INFO | check_consistency:273 | Consistency check complete with semantic matching. Score: 0.00
2026-02-19 17:55:38 | src.verification.tech_consistency_checker | INFO | detect_red_flags:283 | Detecting tech consistency red flags (with fairness)
2026-02-19 17:55:38 | src.verification.tech_consistency_checker | INFO | detect_red_flags:324 | Found 0 red flags (fair detection)
2026-02-20 09:34:29 | src.verification.tech_consistency_checker | INFO | check_consistency:177 | Checking technology consistency with semantic matching
2026-02-20 09:34:29 | src.verification.tech_consistency_checker | INFO | check_consistency:273 | Consistency check complete with semantic matching. Score: 0.00
2026-02-20 09:34:29 | src.verification.tech_consistency_checker | INFO | detect_red_flags:283 | Detecting tech consistency red flags (with fairness)
2026-02-20 09:34:29 | src.verification.tech_consistency_checker | INFO | detect_red_flags:324 | Found 0 red flags (fair detection)
2026-02-20 09:45:26 | src.verification.tech_consistency_checker | INFO | check_consistency:177 | Checking technology consistency with semantic matching
2026-02-20 09:45:26 | src.verification.tech_consistency_checker | INFO | check_consistency:273 | Consistency check complete with semantic matching. Score: 0.38
2026-02-20 09:45:26 | src.verification.tech_consistency_checker | INFO | detect_red_flags:283 | Detecting tech consistency red flags (with fairness)
2026-02-20 09:45:26 | src.verification.tech_consistency_checker | INFO | detect_red_flags:324 | Found 0 red flags (fair detection)
2026-02-20 10:29:26 | src.verification.tech_consistency_checker | INFO | check_consistency:177 | Checking technology consistency with semantic matching
2026-02-20 10:29:26 | src.verification.tech_consistency_checker | INFO | check_consistency:273 | Consistency check complete with semantic matching. Score: 0.38
2026-02-20 10:29:26 | src.verification.tech_consistency_checker | INFO | detect_red_flags:283 | Detecting tech consistency red flags (with fairness)
2026-02-20 10:29:26 | src.verification.tech_consistency_checker | INFO | detect_red_flags:324 | Found 0 red flags (fair detection)
2026-02-20 10:34:07 | src.verification.tech_consistency_checker | INFO | check_consistency:177 | Checking technology consistency with semantic matching
2026-02-20 10:34:07 | src.verification.tech_consistency_checker | INFO | check_consistency:273 | Consistency check complete with semantic matching. Score: 0.38
2026-02-20 10:34:07 | src.verification.tech_consistency_checker | INFO | detect_red_flags:283 | Detecting tech consistency red flags (with fairness)
2026-02-20 10:34:07 | src.verification.tech_consistency_checker | INFO | detect_red_flags:324 | Found 0 red flags (fair detection)
2026-02-20 10:36:40 | src.verification.tech_consistency_checker | INFO | check_consistency:177 | Checking technology consistency with semantic matching
2026-02-20 10:36:40 | src.verification.tech_consistency_checker | INFO | check_consistency:273 | Consistency check complete with semantic matching. Score: 0.38
2026-02-20 10:36:40 | src.verification.tech_consistency_checker | INFO | detect_red_flags:283 | Detecting tech consistency red flags (with fairness)
2026-02-20 10:36:40 | src.verification.tech_consistency_checker | INFO | detect_red_flags:324 | Found 0 red flags (fair detection)
2026-02-20 10:38:20 | src.verification.tech_consistency_checker | INFO | check_consistency:177 | Checking technology consistency with semantic matching
2026-02-20 10:38:20 | src.verification.tech_consistency_checker | INFO | check_consistency:273 | Consistency check complete with semantic matching. Score: 0.38
2026-02-20 10:38:20 | src.verification.tech_consistency_checker | INFO | detect_red_flags:283 | Detecting tech consistency red flags (with fairness)
2026-02-20 10:38:20 | src.verification.tech_consistency_checker | INFO | detect_red_flags:324 | Found 0 red flags (fair detection)
2026-02-20 10:41:25 | src.verification.tech_consistency_checker | INFO | check_consistency:177 | Checking technology consistency with semantic matching
2026-02-20 10:41:25 | src.verification.tech_consistency_checker | INFO | check_consistency:273 | Consistency check complete with semantic matching. Score: 0.38
2026-02-20 10:41:25 | src.verification.tech_consistency_checker | INFO | detect_red_flags:283 | Detecting tech consistency red flags (with fairness)
2026-02-20 10:41:25 | src.verification.tech_consistency_checker | INFO | detect_red_flags:324 | Found 0 red flags (fair detection)
2026-02-20 11:47:15 | src.verification.tech_consistency_checker | INFO | check_consistency:177 | Checking technology consistency with semantic matching
2026-02-20 11:47:15 | src.verification.tech_consistency_checker | INFO | check_consistency:273 | Consistency check complete with semantic matching. Score: 0.38
2026-02-20 11:47:15 | src.verification.tech_consistency_checker | INFO | detect_red_flags:283 | Detecting tech consistency red flags (with fairness)
2026-02-20 11:47:15 | src.verification.tech_consistency_checker | INFO | detect_red_flags:324 | Found 0 red flags (fair detection)
2026-02-20 11:52:25 | src.verification.tech_consistency_checker | INFO | check_consistency:177 | Checking technology consistency with semantic matching
2026-02-20 11:52:25 | src.verification.tech_consistency_checker | INFO | check_consistency:273 | Consistency check complete with semantic matching. Score: 0.38
2026-02-20 11:52:25 | src.verification.tech_consistency_checker | INFO | detect_red_flags:283 | Detecting tech consistency red flags (with fairness)
2026-02-20 11:52:25 | src.verification.tech_consistency_checker | INFO | detect_red_flags:324 | Found 0 red flags (fair detection)
2026-08-10 14:02:01 | src.verification.tech_consistency_checker | INFO | check_consistency:177 | Checking technology consistency with semantic matching
2026-08-10 14:02:01 | src.verification.tech_consistency_checker | INFO | check_consistency:273 | Consistency check complete with semantic matching. Score: 0.19
2026-08-10 14:02:01 | src.verification.tech_consistency_checker | INFO | detect_red_flags:283 | Detecting tech consistency red flags (with fairness)
2026-08-10 14:02:01 | src.verification.tech_consistency_checker | INFO | detect_red_flags:324 | Found 0 red flags (fair detection)
